#,Company,Symbol,Weight,Price,Chg,% Chg
1,Apple Inc.,AAPL,7.13518,165.85,5.84,(3.65%)
2,Microsoft Corporation,MSFT,5.960905,282.00,7.18,(2.61%)
3,Amazon.com Inc.,AMZN,3.404451,139.30,5.14,(3.83%)
4,Tesla Inc,TSLA,2.194586,923.45,21.69,(2.41%)
5,Alphabet Inc. Class A,GOOGL,2.00844,117.86,2.73,(2.37%)
6,Alphabet Inc. Class C,GOOG,1.853854,118.64,2.74,(2.36%)
7,Berkshire Hathaway Inc. Class B,BRK.B,1.532969,294.83,2.66,(0.91%)
8,UnitedHealth Group Incorporated,UNH,1.458253,541.00,5.54,(1.03%)
9,NVIDIA Corporation,NVDA,1.345346,188.37,3.11,(1.68%)
10,Johnson & Johnson,JNJ,1.319622,175.00,2.08,(1.20%)
11,Exxon Mobil Corporation,XOM,1.149246,90.79,-3.28,(-3.49%)
12,Meta Platforms Inc. Class A,META,1.065504,168.34,8.15,(5.09%)
13,Procter & Gamble Company,PG,0.987723,144.40,2.45,(1.73%)
14,Visa Inc. Class A,V,0.984446,208.51,2.25,(1.09%)
15,JPMorgan Chase & Co.,JPM,0.957648,113.61,1.18,(1.05%)
16,Chevron Corporation,CVX,0.906813,155.25,-3.89,(-2.44%)
17,Home Depot Inc.,HD,0.901187,305.19,4.48,(1.49%)
18,Mastercard Incorporated Class A,MA,0.870648,354.13,5.12,(1.47%)
19,Pfizer Inc.,PFE,0.808569,49.88,0.19,(0.38%)
20,Eli Lilly and Company,LLY,0.732339,309.00,-11.20,(-3.50%)
21,Coca-Cola Company,KO,0.720086,63.98,0.34,(0.53%)
22,AbbVie Inc.,ABBV,0.719479,141.35,0.96,(0.68%)
23,PepsiCo Inc.,PEP,0.70371,176.82,1.33,(0.76%)
24,Costco Wholesale Corporation,COST,0.698561,543.11,-0.35,(-0.06%)
25,Bank of America Corp,BAC,0.67934,33.59,0.55,(1.66%)
26,Thermo Fisher Scientific Inc.,TMO,0.665347,588.00,1.96,(0.33%)
27,Merck & Co. Inc.,MRK,0.642522,87.50,-0.11,(-0.13%)
28,Broadcom Inc.,AVGO,0.629006,546.71,15.50,(2.92%)
29,Adobe Incorporated,ADBE,0.561778,424.39,14.43,(3.52%)
30,McDonald's Corporation,MCD,0.559893,262.00,0.95,(0.36%)
31,Accenture Plc Class A,ACN,0.555647,311.17,8.69,(2.87%)
32,Walt Disney Company,DIS,0.553138,108.92,4.21,(4.02%)
